company_name,ticker,sector,ticker_yfinance,currency,exchange,country,index,has_adr,adr_ticker
Skyworks Solutions,SWKS,Information Technology,SWKS,USD,NYSE/NASDAQ,US,SP500,False,
J.M. Smucker Company (The),SJM,Consumer Staples,SJM,USD,NYSE/NASDAQ,US,SP500,False,
Smurfit Westrock,SW,Materials,SW,USD,NYSE/NASDAQ,US,SP500,False,
Snap-on,SNA,Industrials,SNA,USD,NYSE/NASDAQ,US,SP500,False,
Solventum,SOLV,Health Care,SOLV,USD,NYSE/NASDAQ,US,SP500,False,
Southern Company,SO,Utilities,SO,USD,NYSE/NASDAQ,US,SP500,False,
Southwest Airlines,LUV,Industrials,LUV,USD,NYSE/NASDAQ,US,SP500,False,
Stanley Black & Decker,SWK,Industrials,SWK,USD,NYSE/NASDAQ,US,SP500,False,
Starbucks,SBUX,Consumer Discretionary,SBUX,USD,NYSE/NASDAQ,US,SP500,False,
State Street Corporation,STT,Financials,STT,USD,NYSE/NASDAQ,US,SP500,False,
Steel Dynamics,STLD,Materials,STLD,USD,NYSE/NASDAQ,US,SP500,False,
Steris,STE,Health Care,STE,USD,NYSE/NASDAQ,US,SP500,False,
Stryker Corporation,SYK,Health Care,SYK,USD,NYSE/NASDAQ,US,SP500,False,
Supermicro,SMCI,Information Technology,SMCI,USD,NYSE/NASDAQ,US,SP500,False,
Synchrony Financial,SYF,Financials,SYF,USD,NYSE/NASDAQ,US,SP500,False,
Synopsys,SNPS,Information Technology,SNPS,USD,NYSE/NASDAQ,US,SP500,False,
Sysco,SYY,Consumer Staples,SYY,USD,NYSE/NASDAQ,US,SP500,False,
T-Mobile US,TMUS,Communication Services,TMUS,USD,NYSE/NASDAQ,US,SP500,False,
T. Rowe Price,TROW,Financials,TROW,USD,NYSE/NASDAQ,US,SP500,False,
Take-Two Interactive,TTWO,Communication Services,TTWO,USD,NYSE/NASDAQ,US,SP500,False,
"Tapestry, Inc.",TPR,Consumer Discretionary,TPR,USD,NYSE/NASDAQ,US,SP500,False,
Targa Resources,TRGP,Energy,TRGP,USD,NYSE/NASDAQ,US,SP500,False,
Target Corporation,TGT,Consumer Staples,TGT,USD,NYSE/NASDAQ,US,SP500,False,
TE Connectivity,TEL,Information Technology,TEL,USD,NYSE/NASDAQ,US,SP500,False,
Teledyne Technologies,TDY,Information Technology,TDY,USD,NYSE/NASDAQ,US,SP500,False,
Teradyne,TER,Information Technology,TER,USD,NYSE/NASDAQ,US,SP500,False,
"Tesla, Inc.",TSLA,Consumer Discretionary,TSLA,USD,NYSE/NASDAQ,US,SP500,False,
Texas Instruments,TXN,Information Technology,TXN,USD,NYSE/NASDAQ,US,SP500,False,
Texas Pacific Land Corporation,TPL,Energy,TPL,USD,NYSE/NASDAQ,US,SP500,False,
Textron,TXT,Industrials,TXT,USD,NYSE/NASDAQ,US,SP500,False,
Thermo Fisher Scientific,TMO,Health Care,TMO,USD,NYSE/NASDAQ,US,SP500,False,
TJX Companies,TJX,Consumer Discretionary,TJX,USD,NYSE/NASDAQ,US,SP500,False,
TKO Group Holdings,TKO,Communication Services,TKO,USD,NYSE/NASDAQ,US,SP500,False,
Trade Desk (The),TTD,Communication Services,TTD,USD,NYSE/NASDAQ,US,SP500,False,
Tractor Supply,TSCO,Consumer Discretionary,TSCO,USD,NYSE/NASDAQ,US,SP500,False,
Trane Technologies,TT,Industrials,TT,USD,NYSE/NASDAQ,US,SP500,False,
TransDigm Group,TDG,Industrials,TDG,USD,NYSE/NASDAQ,US,SP500,False,
Travelers Companies (The),TRV,Financials,TRV,USD,NYSE/NASDAQ,US,SP500,False,
Trimble Inc.,TRMB,Information Technology,TRMB,USD,NYSE/NASDAQ,US,SP500,False,
Truist Financial,TFC,Financials,TFC,USD,NYSE/NASDAQ,US,SP500,False,
Tyler Technologies,TYL,Information Technology,TYL,USD,NYSE/NASDAQ,US,SP500,False,
Tyson Foods,TSN,Consumer Staples,TSN,USD,NYSE/NASDAQ,US,SP500,False,
U.S. Bancorp,USB,Financials,USB,USD,NYSE/NASDAQ,US,SP500,False,
